K_neighbours,Accuracy,F1-score,Precision,Recall,Error
1,0.8510283296286338,0.8509721633017888,0.8509327749765134,0.8510283296286338,0.1489716703713661
3,0.8729235651234057,0.8725936029577752,0.8727912774951283,0.8729235651234057,0.12707643487659423
5,0.8783083322918201,0.8778520077752139,0.8783989140790378,0.8783083322918201,0.12169166770817992
7,0.8807360444520512,0.8801875568077676,0.8810655002003429,0.8807360444520512,0.11926395554794875
9,0.8818885462368564,0.8812692278224201,0.8824334073867186,0.8818885462368564,0.11811145376314361
11,0.8820088433413289,0.8813578103821579,0.8826516561489971,0.8820088433413289,0.11799115665867108
